trip_id,route_id,service_id,direction_id,shape_id,trip_headsign,trip_short_name,wheelchair_accessible,bikes_allowed,block_id,trip_headsign_code
Sunday-Su-15-A-OB-1310-040038f,15,Sunday,0,15-A-OB,To NW 13th St,15,0,0,,
Reduced_Service-Weekday-20-A-IB-2042-04166c9,20,Reduced_Service,1,20-A-IB,To Oaks Mall,20,0,0,,
Weekday-Weekday-52-A-IB-1800-0419827,52,Weekday,1,52-A-IB,To Reitz Union,52,0,0,,
Reduced_Service-Weekday-11-A-OB-1200-044038b,11,Reduced_Service,0,11-A-OB,To Eastwood Meadows,11,0,0,,
Sunday-Su-20-A-IB-1518-044a46f,20,Sunday,1,20-A-IB,To Oaks Mall,20,0,0,,
Saturday-Sa-126-A-IB-1600-045b1dc,126,Saturday,1,126-A-IB,To Sorority Row,126,0,0,,
Weekday-Weekday-118-A-IB-1415-045c0f2,118,Weekday,1,118-A-IB,To The Hub,118,0,0,,
Reduced_Service-Weekday-3-A-OB-1300-047b821,3,Reduced_Service,0,3-A-OB,To Post Office,3,0,0,,
Reduced_Service-Weekday-3-A-OB-1400-0480c3d,3,Reduced_Service,0,3-A-OB,To Post Office,3,0,0,,
Weekday-Weekday-38-A-OB-1146-0495022,38,Weekday,0,38-A-OB,To Gainesville Place,38,0,0,,
Saturday-Sa-12-A-IB-1022-04dce0a,12,Saturday,1,12-A-IB,To The Hub,12,0,0,,
Weekday-Weekday-7-A-IB-0730-04e0653,7,Weekday,1,7-A-IB,To Downtown Station,7,0,0,,
Weekday-Weekday-33-A-OB-1015-04ed3b6,33,Weekday,0,33-A-OB,To The Hub,33,0,0,,
Weekday-Weekday-38-A-IB-0842-04ee7da,38,Weekday,1,38-A-IB,To The Hub,38,0,0,,
Weekday-Weekday-118-A-OB-1455-04f4162,118,Weekday,0,118-A-OB,To Cultural Plaza,118,0,0,,
Reduced_Service-Weekday-12-A-IB-0822-0500d12,12,Reduced_Service,1,12-A-IB,To The Hub,12,0,0,,
Saturday-Sa-37-A-IB-1100-05089bb,37,Saturday,1,37-A-IB,To Reitz Union,37,0,0,,
Reduced_Service-Weekday-11-A-OB-1300-050b847,11,Reduced_Service,0,11-A-OB,To Eastwood Meadows,11,0,0,,
Saturday-Sa-20-A-IB-1442-052baa9,20,Saturday,1,20-A-IB,To Oaks Mall,20,0,0,,
Saturday-Sa-1-A-OB-1230-0586dba,1,Saturday,0,1-A-OB,To Butler Plaza,1,0,0,,
Weekday-Weekday-17-A-IB-1712-0587510,17,Weekday,1,17-A-IB,To Beaty Towers,17,0,0,,
Weekday-Weekday-33-A-OB-1400-058a610,33,Weekday,0,33-A-OB,To The Hub,33,0,0,,
Weekday-Weekday-33-A-IB-2250-05d3fca,33,Weekday,1,33-A-IB,To Butler Plaza,33,0,0,,
Weekday-Weekday-11-A-OB-1600-05d4923,11,Weekday,0,11-A-OB,To Eastwood Meadows,11,0,0,,
Reduced_Service-Weekday-17-A-OB-1430-05e52b0,17,Reduced_Service,0,17-A-OB,To Downtown Station,17,0,0,,
Sunday-Su-43-A-IB-1112-062a07d,43,Sunday,1,43-A-IB,To UF Health,43,0,0,,
Saturday-Sa-17-A-IB-0732-062d48f,17,Saturday,1,17-A-IB,To Beaty Towers,17,0,0,,
Weekday-Weekday-13-A-OB-1900-066464f,13,Weekday,0,13-A-OB,To Alight Apts,13,0,0,,
Saturday-Sa-9-A-IB-1345-066d059,9,Saturday,1,9-A-IB,To The Hub,9,0,0,,
Weekday-Weekday-8-A-OB-1505-0694b38,8,Weekday,0,8-A-OB,To N Walmart,8,0,0,,
Reduced_Service-Weekday-8-A-OB-1635-06b111b,8,Reduced_Service,0,8-A-OB,To N Walmart,8,0,0,,
Reduced_Service-Weekday-23-A-OB-1630-06b2d5a,23,Reduced_Service,0,23-A-OB,To Santa Fe College,23,0,0,,
Weekday-Weekday-20-A-IB-0842-06b5e5f,20,Weekday,1,20-A-IB,To Oaks Mall,20,0,0,,
Saturday-Sa-33-A-OB-1245-06b7d2a,33,Saturday,0,33-A-OB,To The Hub,33,0,0,,
Reduced_Service-Weekday-37-A-IB-1300-06bd008,37,Reduced_Service,1,37-A-IB,To Reitz Union,37,0,0,,
Sunday-Su-13-A-OB-1040-06c226a,13,Sunday,0,13-A-OB,To Alight Apts,13,0,0,,
Weekday-Weekday-118-A-IB-0730-06e4684,118,Weekday,1,118-A-IB,To The Hub,118,0,0,,
Reduced_Service-Weekday-75-A-OB-1815-06e801e,75,Reduced_Service,0,75-A-OB,To Butler Plaza,75,0,0,,
Weekday-Weekday-118-A-OB-1355-06ea61f,118,Weekday,0,118-A-OB,To Cultural Plaza,118,0,0,,
Weekday-Weekday-1-A-OB-1042-06fd1a8,1,Weekday,0,1-A-OB,To Butler Plaza,1,0,0,,
Weekday-Weekday-75-A-OB-1415-0716dc9,75,Weekday,0,75-A-OB,To Butler Plaza,75,0,0,,
Sunday-Su-26-A-IB-1630-073f5dc,26,Sunday,1,26-A-IB,To Downtown Station,26,0,0,,
Weekday-Weekday-37-A-OB-1655-0753a3d,37,Weekday,0,37-A-OB,To Butler Plaza,37,0,0,,
Saturday-Sa-5-A-OB-1210-075457e,5,Saturday,0,5-A-OB,To Oaks Mall,5,0,0,,
Saturday-Sa-37-A-OB-1225-07569e6,37,Saturday,0,37-A-OB,To Butler Plaza,37,0,0,,
Saturday-Sa-37-A-OB-1155-077ccc3,37,Saturday,0,37-A-OB,To Butler Plaza,37,0,0,,
Weekday-Weekday-9-A-OB-1423-0786f64,9,Weekday,0,9-A-OB,To Hunters Run,9,0,0,,
Reduced_Service-Weekday-33-A-OB-1950-078b4a7,33,Reduced_Service,0,33-A-OB,To The Hub,33,0,0,,
Weekday-Weekday-17-A-IB-1132-078de7b,17,Weekday,1,17-A-IB,To Beaty Towers,17,0,0,,
Reduced_Service-Weekday-20-A-IB-2230-07aa0c3,20,Reduced_Service,1,20-A-IB,To Oaks Mall,20,0,0,,
Weekday-Weekday-26-A-IB-1237-07acb81,26,Weekday,1,26-A-IB,To Downtown Station,26,0,0,,
Saturday-Sa-13-A-IB-0745-07cf26a,13,Saturday,1,13-A-IB,To US 441,13,0,0,,
Weekday-Weekday-8-A-OB-1930-07d784c,8,Weekday,0,8-A-OB,To N Walmart,8,0,0,,
Saturday-Sa-43-A-OB-1200-07dbfec,43,Saturday,0,43-A-OB,To Santa Fe College,43,0,0,,
Reduced_Service-Weekday-37-A-OB-0725-07ff217,37,Reduced_Service,0,37-A-OB,To Butler Plaza,37,0,0,,
Reduced_Service-Weekday-20-A-OB-0854-0822d18,20,Reduced_Service,0,20-A-OB,To Reitz Union,20,0,0,,
Weekday-Weekday-9-A-OB-1208-084303b,9,Weekday,0,9-A-OB,To Hunters Run,9,0,0,,
Weekday-Weekday-37-A-IB-0915-08676e3,37,Weekday,1,37-A-IB,To Reitz Union,37,0,0,,
Weekday-Weekday-38-A-OB-1006-087116c,38,Weekday,0,38-A-OB,To Gainesville Place,38,0,0,,
Weekday-Weekday-20-A-IB-1842-08796e9,20,Weekday,1,20-A-IB,To Oaks Mall,20,0,0,,
Reduced_Service-Weekday-1-A-IB-1151-0885c4b,1,Reduced_Service,1,1-A-IB,To Downtown Station,1,0,0,,
Weekday-Weekday-9-A-IB-1000-088a95f,9,Weekday,1,9-A-IB,To The Hub,9,0,0,,
Weekday-Weekday-20-A-IB-1454-0899914,20,Weekday,1,20-A-IB,To Oaks Mall,20,0,0,,
Weekday-Weekday-20-A-OB-1542-0899d2e,20,Weekday,0,20-A-OB,To Reitz Union,20,0,0,,
Reduced_Service-Weekday-43-A-OB-1545-089c32f,43,Reduced_Service,0,43-A-OB,To Santa Fe College,43,0,0,,
Weekday-Weekday-3-A-OB-1800-08b8c3a,3,Weekday,0,3-A-OB,To Post Office,3,0,0,,
Weekday-Weekday-17-A-IB-1412-09000f9,17,Weekday,1,17-A-IB,To Beaty Towers,17,0,0,,
Weekday-Weekday-33-A-IB-0700-0901ac8,33,Weekday,1,33-A-IB,To Butler Plaza,33,0,0,,
Weekday-Weekday-118-A-IB-1400-0928629,118,Weekday,1,118-A-IB,To The Hub,118,0,0,,
Reduced_Service-Weekday-12-A-OB-1920-098a86b,12,Reduced_Service,0,12-A-OB,To Dollar General,12,0,0,,
Saturday-Sa-17-A-OB-1230-0997796,17,Saturday,0,17-A-OB,To Downtown Station,17,0,0,,
Weekday-Weekday-26-B-OB-0900-09ca29d,26,Weekday,0,26-B-OB,To Airport,26,0,0,,
Weekday-Weekday-1-A-IB-1227-09db2db,1,Weekday,1,1-A-IB,To Downtown Station,1,0,0,,
Reduced_Service-Weekday-15-A-OB-1000-09ed728,15,Reduced_Service,0,15-A-OB,To NW 13th St,15,0,0,,
Weekday-Weekday-13-A-OB-0950-09f55be,13,Weekday,0,13-A-OB,To Alight Apts,13,0,0,,
Weekday-Weekday-23-A-OB-0930-09f9c69,23,Weekday,0,23-A-OB,To Santa Fe College,23,0,0,,
Reduced_Service-Weekday-5-A-OB-1730-09fb29c,5,Reduced_Service,0,5-A-OB,To Oaks Mall,5,0,0,,
Weekday-Weekday-9-A-IB-0800-0a1299d,9,Weekday,1,9-A-IB,To The Hub,9,0,0,,
Reduced_Service-Weekday-75-A-IB-2100-0a23803,75,Reduced_Service,1,75-A-IB,To Oaks Mall,75,0,0,,
Saturday-Sa-26-A-OB-1100-0a3de85,26,Saturday,0,26-A-OB,To Airport,26,0,0,,
Reduced_Service-Weekday-20-A-OB-2042-0a452c9,20,Reduced_Service,0,20-A-OB,To Reitz Union,20,0,0,,
Weekday-Weekday-12-A-IB-0622-0a4756c,12,Weekday,1,12-A-IB,To The Hub,12,0,0,,
Reduced_Service-Weekday-37-A-OB-0955-0a47b3e,37,Reduced_Service,0,37-A-OB,To Butler Plaza,37,0,0,,
Sunday-Su-5-A-OB-1130-0a574f5,5,Sunday,0,5-A-OB,To Oaks Mall,5,0,0,,
Saturday-Sa-11-A-IB-1230-0a64cd3,11,Saturday,1,11-A-IB,To Downtown Station,11,0,0,,
Weekday-Weekday-6-A-OB-0700-0a72b1f,6,Weekday,0,6-A-OB,To N Walmart,6,0,0,,
Weekday-Weekday-5-A-OB-1530-0a7ac01,5,Weekday,0,5-A-OB,To Oaks Mall,5,0,0,,
Reduced_Service-Weekday-38-A-IB-1118-0a82756,38,Reduced_Service,1,38-A-IB,To The Hub,38,0,0,,
Weekday-Weekday-33-A-IB-1737-0aac5b0,33,Weekday,1,33-A-IB,To Butler Plaza,33,0,0,,
Reduced_Service-Weekday-7-A-OB-0900-0acc900,7,Reduced_Service,0,7-A-OB,To Eastwood Meadows,7,0,0,,
Reduced_Service-Weekday-33-A-IB-1700-0acefb4,33,Reduced_Service,1,33-A-IB,To Butler Plaza,33,0,0,,
Saturday-Sa-126-A-OB-1700-0ad4aad,126,Saturday,0,126-A-OB,To Lakeside,126,0,0,,
Saturday-Sa-43-A-IB-0942-0ae38fd,43,Saturday,1,43-A-IB,To UF Health,43,0,0,,
Reduced_Service-Weekday-20-A-OB-1342-0af8035,20,Reduced_Service,0,20-A-OB,To Reitz Union,20,0,0,,
Saturday-Sa-12-A-IB-0752-0af9c1c,12,Saturday,1,12-A-IB,To The Hub,12,0,0,,
Weekday-Weekday-20-A-OB-1518-0b17412,20,Weekday,0,20-A-OB,To Reitz Union,20,0,0,,
Weekday-Weekday-1-A-IB-0909-0b485e9,1,Weekday,1,1-A-IB,To Downtown Station,1,0,0,,
Weekday-Weekday-33-A-IB-2045-0b54cf3,33,Weekday,1,33-A-IB,To Butler Plaza,33,0,0,,
